delito,CATEGORÍA DE DELITO,DICCIONARIO,
CONTRA EL ESTADO CIVIL,DELITO DE BAJO IMPACTO,OTROS,
CONTRA FUNCIONARIOS PUBLICOS,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
CONTRA LA LEY GENERAL DE EXPLOSIVOS,DELITO DE BAJO IMPACTO,EXPLOSIVOS / ARMAS,
CORRUPCION DE MENORES,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
CORRUPCION DE MENORES E INCAPACES,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
DA√ëO EN PROPIEDAD AJENA CULPOSA,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA CULPOSA POR TR√ÅNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA CULPOSA POR TR√ÅNSITO VEHICULAR A BIENES INMUEBLES,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA CULPOSA POR TR√ÅNSITO VEHICULAR A VIAS DE COMUNICACION,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA INTENCIONAL,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA INTENCIONAL A BIENES INMUEBLES,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA INTENCIONAL A CASA HABITACION,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DA√ëO EN PROPIEDAD AJENA INTENCIONAL A VIAS DE COMUNICACION,DELITO DE BAJO IMPACTO,DAÑOS EN PROPIEDAD AJENA,
DELITOS AMBIENTALES,DELITO DE BAJO IMPACTO,DELITOS AMBIENTALES,
DELITOS CONTRA LA SALUD,DELITO DE BAJO IMPACTO,DELITOS CONTRA LA SALUD,
DELITOS DE ABOGADOS PATRONOS Y LITIGANTES,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
DELITOS ELECTORALES,DELITO DE BAJO IMPACTO,DELITOS ELECTORALES,
DESACATO,DELITO DE BAJO IMPACTO,OTROS,
DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,SECUESTRO,
DESOBEDENCIA DE PARTICULARES,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
DESPOJO,DELITO DE BAJO IMPACTO,ROBO,
DIFAMACION,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
DISCRIMINACION,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
DISPAROS DE ARMA DE FUEGO,DELITO DE BAJO IMPACTO,EXPLOSIVOS / ARMAS,
EJERCICIO ABUSIVO DE FUNCIONES,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
EJERCICIO INDEBIDO DEL SERVIDOR PUBLICO,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
ENRIQUECIMIENTO ILICITO,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
ENTREGA ILEGITIMA DE UN MENOR,DELITO DE BAJO IMPACTO,OTROS,
ESTUPRO,DELITO DE BAJO IMPACTO,CRIMEN SEXUAL,
EVASION DE PRESOS,DELITO DE BAJO IMPACTO,OTROS,
EXPLOTACI√ìN DE MENOR O DISCAPACITADO,DELITO DE BAJO IMPACTO,DELITOS FAMILIARES,
EXTORSION,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
FALSEDAD DE DECLARACIONES,DELITO DE BAJO IMPACTO,DELITOS CÍVICOS,
FALSIFICACION DE DOCUMENTOS,DELITO DE BAJO IMPACTO,OTROS,
FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
FRAUDE,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
GESTI√ìN AMBIENTAL,DELITO DE BAJO IMPACTO,DELITOS AMBIENTALES,
HOMICIDIO CULPOSO,DELITO DE BAJO IMPACTO,HOMICIDIO,
HOMICIDIO CULPOSO FUERA DEL D.F (ATROPELLADO),DELITO DE BAJO IMPACTO,HOMICIDIO,
HOMICIDIO CULPOSO FUERA DEL D.F (COLISION),DELITO DE BAJO IMPACTO,HOMICIDIO,
HOMICIDIO CULPOSO POR ARMA DE FUEGO,DELITO DE BAJO IMPACTO,HOMICIDIO,
HOMICIDIO CULPOSO POR INSTRUMENTO PUNZO CORTANTE,DELITO DE BAJO IMPACTO,HOMICIDIO,
HOMICIDIO CULPOSO POR TR√ÅNSITO VEHICULAR,DELITO DE BAJO IMPACTO,HOMICIDIO,
HOMICIDIO CULPOSO POR TR√ÅNSITO VEHICULAR (ATROPELLADO),DELITO DE BAJO IMPACTO,HOMICIDIO,
HOMICIDIO CULPOSO POR TR√ÅNSITO VEHICULAR (CAIDA),DELITO DE BAJO IMPACTO,HOMICIDIO,
HOMICIDIO CULPOSO POR TR√ÅNSITO VEHICULAR (COLISION),DELITO DE BAJO IMPACTO,HOMICIDIO,
INHUMACIONES Y/O EXHUMACIONES,DELITO DE BAJO IMPACTO,OTROS,
INSOLVENCIA ALIMENTARIA,DELITO DE BAJO IMPACTO,OTROS,
INTIMIDACION,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
LA ADMINISTRACION DE JUSTICIA,DELITO DE BAJO IMPACTO,DELITOS CÍVICOS,
LENOCINIO,DELITO DE BAJO IMPACTO,CRIMEN SEXUAL,
LESIONES CULPOSAS,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES CULPOSAS ACCIDENTE LABORAL,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES CULPOSAS POR CAIDA,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES CULPOSAS POR CAIDA DE VEH√çCULO EN MOVIMIENTO,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES CULPOSAS POR QUEMADURAS,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES CULPOSAS POR TRANSITO VEHICULAR,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES INTENCIONALES,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES INTENCIONALES POR ARMA BLANCA,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES INTENCIONALES POR GOLPES,DELITO DE BAJO IMPACTO,LESIÓN,
LESIONES INTENCIONALES Y ROBO DE VEHICULO,DELITO DE BAJO IMPACTO,LESIÓN,
MALTRATO ANIMAL,DELITO DE BAJO IMPACTO,DELITOS AMBIENTALES,
MOTIN,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,DELITOS CONTRA LA SALUD,
NEGACION DEL SERVICIO PUBLICO,DELITO DE BAJO IMPACTO,DELITOS CÍVICOS,
OPERACIONES CON RECURSOS DE PROCEDENCIA ILICITA,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
OPOSICION A LA OBRA PUBLICA,DELITO DE BAJO IMPACTO,DELITOS CÍVICOS,
OTROS CULPOSOS,DELITO DE BAJO IMPACTO,OTROS,
OTROS DELITOS,DELITO DE BAJO IMPACTO,OTROS,
PECULADO,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
PELIGRO DE CONTAGIO,DELITO DE BAJO IMPACTO,OTROS,
PERSONAS EXTRAVIADAS,DELITO DE BAJO IMPACTO,SECUESTRO,
PORNOGRAFIA INFANTIL,DELITO DE BAJO IMPACTO,CRIMEN SEXUAL,
PORTACION ARMA/PROHIB.,DELITO DE BAJO IMPACTO,EXPLOSIVOS / ARMAS,
PORTACION DE ARMA DE FUEGO,DELITO DE BAJO IMPACTO,EXPLOSIVOS / ARMAS,
POSESION DE VEHICULO ROBADO,DELITO DE BAJO IMPACTO,ROBO,
PRIV. ILEGAL DE LA LIB. Y ROBO DE VEHICULO,DELITO DE BAJO IMPACTO,SECUESTRO,
PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,SECUESTRO,
PRIVACION DE LA LIBERTAD PERSONAL (REALIZAR ACTO SEXUAL),DELITO DE BAJO IMPACTO,SECUESTRO,
PROVOCACION O APOLOGIA DE DELITO,DELITO DE BAJO IMPACTO,OTROS,
QUEBRANTAMIENTO DE SELLOS,DELITO DE BAJO IMPACTO,DELITOS CÍVICOS,
REGULACI√ìN URBANA,DELITO DE BAJO IMPACTO,DELITOS CÍVICOS,
RESISTENCIA DE PARTICULARES (SE OPONGA O RESISTA),DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
RESPONSABILIDAD PROFESIONAL,DELITO DE BAJO IMPACTO,OTROS,
REVELACION DE SECRETOS,DELITO DE BAJO IMPACTO,OTROS,
ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A NEGOCIO Y VEHICULO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A OFICINA P√öBLICA SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO / CONDUCTOR DE TAXI CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO A BORDO DE PESERO Y VEHICULO CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO A BORDO DE TAXI SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO A BORDO DE TRANSPORTE P√öBLICO CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO A BORDO DE TRANSPORTE P√öBLICO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN AUTOB√öS FOR√ÅNEO CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN AUTOBUS FORANEO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN ECOBUS CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN ECOBUS SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN RTP CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN RTP SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN TREN LIGERO CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN TREN LIGERO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN TREN SUBURBANO CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN TREN SUBURBANO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN TROLEBUS CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A PASAJERO EN TROLEBUS SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A SUCURSAL BANCARIA (SUPERMERCADO) SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE EN CINE CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE EN HOTEL CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE EN RESTAURANT CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE EN TERMINAL DE PASAJEROS CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO A TRANSEUNTE Y VEHICULO CON VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE ALHAJAS,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE ANIMALES,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE ARMA,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE DINERO,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE DOCUMENTOS,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE FLUIDOS,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE INFANTE,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE OBJETOS A ESCUELA,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE PLACA DE AUTOMOVIL,DELITO DE BAJO IMPACTO,ROBO,
ROBO DE VEHICULO DE PEDALES,DELITO DE BAJO IMPACTO,ROBO,
ROBO DURANTE TRASLADO DE VALORES (NOMINA) SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
ROBO EN INTERIOR DE EMPRESA (NOMINA) SIN VIOLENCIA,DELITO DE BAJO IMPACTO,ROBO,
SABOTAJE,DELITO DE BAJO IMPACTO,OTROS,
SECUESTRO EXPRESS (PARA COMETER ROBO O EXTORSI√ìN),DELITO DE BAJO IMPACTO,SECUESTRO,
SUSTRACCION DE MENORES,DELITO DE BAJO IMPACTO,SECUESTRO,
TALA,DELITO DE BAJO IMPACTO,DELITOS AMBIENTALES,
TENTATIVA DE EXTORSION,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
TENTATIVA DE FRAUDE,DELITO DE BAJO IMPACTO,DELITO ECONÓMICO,
TENTATIVA DE HOMICIDIO,DELITO DE BAJO IMPACTO,HOMICIDIO,
TENTATIVA DE ROBO,DELITO DE BAJO IMPACTO,ROBO,
TENTATIVA DE ROBO DE VEHICULO,DELITO DE BAJO IMPACTO,ROBO,
TENTATIVA DE SUICIDIO,DELITO DE BAJO IMPACTO,HOMICIDIO,
TENTATIVA DE VIOLACION,DELITO DE BAJO IMPACTO,CRIMEN SEXUAL,
TORTURA,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
TRAFICO DE INFLUENCIA,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
TRATA DE PERSONAS,DELITO DE BAJO IMPACTO,OTROS,
ULTRAJES,DELITO DE BAJO IMPACTO,ATAQUE / AGRESION/OFENSA,
USO DE DOCUMENTO FALSO,DELITO DE BAJO IMPACTO,OTROS,
USO INDEBIDO DE ATRIBUCIONES Y FACULTADES,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
USO INDEBIDO DE CONDECORACIONES UNIFORMES E INSIGNIAS,DELITO DE BAJO IMPACTO,CORRUPCIÓN,
USURPACI√ìN DE IDENTIDAD,DELITO DE BAJO IMPACTO,OTROS,
USURPACION DE FUNCIONES,DELITO DE BAJO IMPACTO,OTROS,
USURPACION DE PROFESION,DELITO DE BAJO IMPACTO,OTROS,
UTILIZACION INDEBIDA DE LA VIA PUBLICA,DELITO DE BAJO IMPACTO,DELITOS CÍVICOS,
VARIACION DE NOMBRE O DOMICILIO,DELITO DE BAJO IMPACTO,OTROS,
VIOLACION DE CORRESPONDENCIA,DELITO DE BAJO IMPACTO,DELITOS CÍVICOS,
VIOLACION DE LA INTIMIDAD,DELITO DE BAJO IMPACTO,OTROS,
VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,DELITOS FAMILIARES,
DDH ANONIMAS,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH CERESO,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH FDS,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH FRVT,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH INCOMPETENCIA,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH OFICIO COLABORACION,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH OTRAS MATERIAS,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH REDES,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH RELACIONADAS,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DDH SIN DATOS,HECHO NO DELICTIVO,DERECHOS HUMANOS,
DENUNCIA DE HECHOS,HECHO NO DELICTIVO,OTROS,
DENUNCIA DE HECHOS POR ROBO DE CELULAR,HECHO NO DELICTIVO,ROBO,
EXHORTOS,HECHO NO DELICTIVO,OTROS,
PERDIDA DE LA VIDA ASFIXIA POR ALIMENTOS/ LIQUIDOS,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR ACCIDENTE LABORAL,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR AHOGAMIENTO,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR ASFIXIA,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR CAIDA,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR CONGESTION ALCOHOLICA,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR DERRUMBE,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR ENFERMEDAD,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR INTOXICACION,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR OTRAS CAUSAS,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR PARO CARDIACO,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR PRECIPITACION,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR QUEMADURA,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR SUICIDIO,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
PERDIDA DE LA VIDA POR SUICIDIO EN EL METRO,HECHO NO DELICTIVO,PÉRDIDA DE VIDA,
FEMINICIDIO,HOMICIDIO DOLOSO,HOMICIDIO,
HOMICIDIO INTENCIONAL Y ROBO DE VEHICULO,HOMICIDIO DOLOSO,HOMICIDIO,
HOMICIDIO POR AHORCAMIENTO,HOMICIDIO DOLOSO,HOMICIDIO,
HOMICIDIO POR ARMA BLANCA,HOMICIDIO DOLOSO,HOMICIDIO,
HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO DOLOSO,HOMICIDIO,
HOMICIDIO POR GOLPES,HOMICIDIO DOLOSO,HOMICIDIO,
HOMICIDIOS INTENCIONALES (OTROS),HOMICIDIO DOLOSO,HOMICIDIO,
LESIONES INTENCIONALES POR ARMA DE FUEGO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,EXPLOSIVOS / ARMAS,
ROBO A CASA HABITACION CON VIOLENCIA,ROBO A CASA HABITACI√ìN CON VIOLENCIA,ROBO,
ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,ROBO A CASA HABITACI√ìN CON VIOLENCIA,ROBO,
ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,ROBO,
ROBO A TRANSEUNTE SALIENDO DEL CAJERO CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,ROBO,
ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO,
ROBO A NEGOCIO Y VEHICULO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO,
ROBO A OFICINA P√öBLICA CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO,
ROBO A SUCURSAL BANCARIA (ASALTO BANCARIO) CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO,
ROBO A SUCURSAL BANCARIA (SUPERMERCADO) CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO,
ROBO DE VEHICULO Y NOMINA CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO,
ROBO DURANTE TRASLADO DE VALORES (NOMINA) CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO,
ROBO EN INTERIOR DE EMPRESA (NOMINA) CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO,
ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,ROBO,
ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,ROBO,
ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,ROBO,
ROBO A PASAJERO A BORDO DE METRO CON VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,ROBO,
ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,ROBO,
ROBO A REPARTIDOR CON VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,ROBO,
ROBO A REPARTIDOR SIN VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,ROBO,
ROBO A REPARTIDOR Y VEHICULO CON VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,ROBO,
ROBO A REPARTIDOR Y VEHICULO SIN VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,ROBO,
ROBO A TRANSEUNTE EN VIA PUBLICA (NOMINA) CON VIOLENCIA,ROBO A TRANSEUNTE EN V√çA P√öBLICA CON Y SIN VIOLENCIA,ROBO,
ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN V√çA P√öBLICA CON Y SIN VIOLENCIA,ROBO,
ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN V√çA P√öBLICA CON Y SIN VIOLENCIA,ROBO,
ROBO A TRANSPORTISTA Y VEHICULO PESADO CON VIOLENCIA,ROBO A TRANSPORTISTA CON Y SIN VIOLENCIA,ROBO,
ROBO A TRANSPORTISTA Y VEHICULO PESADO SIN VIOLENCIA,ROBO A TRANSPORTISTA CON Y SIN VIOLENCIA,ROBO,
ROBO DE MAQUINARIA CON VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE MAQUINARIA SIN VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE MOTOCICLETA CON VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE VEHICULO DE SERVICIO DE TRANSPORTE CON VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE VEHICULO DE SERVICIO DE TRANSPORTE SIN VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE VEHICULO DE SERVICIO OFICIAL CON VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE VEHICULO DE SERVICIO OFICIAL SIN VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE VEHICULO DE SERVICIO P√öBLICO CON VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
ROBO DE VEHICULO DE SERVICIO P√öBLICO SIN VIOLENCIA,ROBO DE VEH√çCULO CON Y SIN VIOLENCIA,ROBO,
